name,taxonomy,imageURL,remarks,temprange,phRange,detailsUrl
Tiger sorubim,Pseudoplatystoma tigrinum,https://upload.wikimedia.org//wikipedia/commons/f/f9/Pseudoplatystoma_tigrinum1.jpg,,,,
"Firewood catfish, (planiceps) shovelnose catfish",Sorubimichthys planiceps,https://upload.wikimedia.org//wikipedia/commons/e/e8/Firewood_catfish.jpg,,,,https://en.wikipedia.org//wiki/Sorubimichthys_planiceps
Lima shovelnose catfish,Sorubium lima,https://upload.wikimedia.org//wikipedia/commons/8/89/Silure_spatule.jpg,,,,
Cuckoo squeaker,Synodontis multipunctatus,https://upload.wikimedia.org//wikipedia/commons/d/de/Synodontis-multipunctatus.jpg,,,,
Decorated squeaker,Synodontis decorus,,,,,
Even-Spotted squeaker,Synodontis petricola,https://upload.wikimedia.org//wikipedia/commons/8/8a/Synodontis_petricola.jpg,,,,
Featherfin squeaker,Synodontis eupterus,https://upload.wikimedia.org//wikipedia/commons/7/7c/Synodontis_Eupterus_3.JPG,,,,https://en.wikipedia.org//wiki/Synodontis_eupterus
Lake Malawi syno,Synodontis njassae,https://upload.wikimedia.org//wikipedia/commons/9/9b/Synodontis_njassae_01_ssj_20050321.jpg,,,,https://en.wikipedia.org//wiki/Synodontis_njassae
Polka dot syno,Synodontis angelicus,https://upload.wikimedia.org//wikipedia/commons/3/37/Synodontis_angelica.jpg,,,,
"Common syno, false upside-down catfish",Synodontis nigrita,,,,,
Upside-down catfish,Synodontis nigriventris,https://upload.wikimedia.org//wikipedia/commons/8/8d/Synodontis.jpg,"S. nigriventris prefers bottom feeding on Tubifex (or similar worms), but its main diet consists of algae.[15]",,,
Three-striped African catfish,Pareutropius buffei,,,,,
Giraffe catfish,Auchenoglanis occidentalis,https://upload.wikimedia.org//wikipedia/commons/2/24/Auchenoglanis_occidentalis_01_by_Line1.JPG,,,,https://en.wikipedia.org//wiki/Auchenoglanis_occidentalis
Electric catfish,Malapterurus electricus,https://upload.wikimedia.org//wikipedia/commons/b/b5/Malapterurus_electricus_1.jpg,,,,
Black lancer catfish,Bagrichthys macracanthus,,,,,https://en.wikipedia.org//wiki/Bagrichthys_macracanthus
Harlequin lancer catfish,Bagroides melapterus,,,,,
Crystal-eyed catfish,Hemibagrus wyckii,,,,,
Asian redtail catfish,Hemibagrus wyckioides,,,,,
Shadow catfish,Hyalobagrus flavus,https://upload.wikimedia.org//wikipedia/commons/6/68/Pelteobagrus_ornatus_%284222100061%29.jpg,,,,
Dwarf bumblebee catfish,Pseudomystus leiacanthus,,,,,
Asian bumblebee catfish,Pseudomystus siamensis,,,,,
Dinema catfish,Belodontichthys dinema,https://upload.wikimedia.org//wikipedia/commons/4/4c/Belodontichthys_dinema.jpg,,,,
Glass catfish,Kryptopterus vitreolus,https://upload.wikimedia.org//wikipedia/commons/5/54/Glaswelse.jpg,,,,
Striped glass catfish,Kryptopterus macrocephalus,,,,,
Borneo glass catfish,Ompok eugeneiatus,,,,,
Striped wallago catfish,Wallago leerii,https://upload.wikimedia.org//wikipedia/commons/7/7d/Wallagonia_leerii.jpg,,,,https://en.wikipedia.org//wiki/Wallago_leerii
Chocolate frogmouth catfish,Chaca bankanensis,https://upload.wikimedia.org//wikipedia/commons/1/17/Chaca_bankanensis_juveniles.png,,,,
Asian banjo catfish,Acrochordonichthys rugosus,,,,,
Walking catfish,Clarias batrachus,https://upload.wikimedia.org//wikipedia/commons/3/34/Clarias_batrachus_Aquarium_tropical_du_Palais_de_la_Porte_Dor%C3%A9e_10_04_2016_1.jpg,"The albino form is common in the aquarium trade. This fish can survive out of the water and ""walk"" as long as kept wet, for a very long time. [16]",,,https://en.wikipedia.org//wiki/Clarias_batrachus
Stinging catfish,Heteropneustes fossilis,https://upload.wikimedia.org//wikipedia/commons/b/bc/%D0%9C%D0%B5%D1%88%D0%BA%D0%BE%D0%B6%D0%B0%D0%B1%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D1%81%D0%BE%D0%BC_%D0%93%D1%80%D0%BE%D0%B4%D0%BD%D0%BE.JPG,,,,
Sun catfish,Horabagrus brachysoma,https://upload.wikimedia.org//wikipedia/commons/8/84/The_Manjakoori_%28Sun_Catfish%29_from_the_Chalakudy_River%2C_Kerala.jpg,,,,
Iridescent shark,Pangasianodon hypophthalmus,https://upload.wikimedia.org//wikipedia/commons/7/73/Aquarium_tropical_de_Pierrefitte-Nestalas_03082018_Pangasianodon_hypophthalmus_2.jpg,,,,https://en.wikipedia.org//wiki/Pangasianodon_hypophthalmus
